contract_id,category,source,financial_harm,exploitability,immutability,automation,scope,financial_loss_usd,svtraf_score,cvss_score
CONTRACT_001,Coding Errors,OWASP Top 10,5.0,8.66,7.32,4.79,2.94,57604378.0,6.1456,7.9726
CONTRACT_002,Coding Errors,Academic,2.8,5.21,3.34,1.14,5.91,29797080.0,3.8099,3.109
CONTRACT_003,Coding Errors,DeFiVulnLabs,9.76,7.83,2.12,1.45,3.1,68607218.0,6.22,6.9778
CONTRACT_004,Coding Errors,DeFiVulnLabs,6.89,2.05,0.23,4.2,4.4,58056842.0,4.1007,3.4361
CONTRACT_005,Coding Errors,DeFiVulnLabs,9.79,3.63,0.91,4.95,4.29,74126704.0,5.6642,3.772
CONTRACT_006,Coding Errors,DeFiVulnLabs,6.74,2.33,6.08,1.36,2.39,64309211.0,4.8141,3.1036
CONTRACT_007,Coding Errors,DeFiVulnLabs,9.54,5.94,3.85,0.13,3.39,77526412.0,5.9665,5.8418
CONTRACT_008,Coding Errors,DeFiVulnLabs,5.52,2.85,4.95,0.28,7.46,39666283.0,4.5494,1.1277
CONTRACT_009,Coding Errors,Academic,3.46,7.29,4.25,1.66,5.41,42029885.0,4.6052,6.0631
CONTRACT_010,Coding Errors,DeFiVulnLabs,9.76,7.43,9.39,7.16,5.59,100000000.0,8.794,7.3822
CONTRACT_011,Coding Errors,SWC Registry,2.36,4.28,3.89,2.17,6.97,24830522.0,3.9067,2.3032
CONTRACT_012,Coding Errors,DeFiHackLabs,9.72,6.25,2.76,2.37,2.99,79177612.0,6.187,5.8732
CONTRACT_013,Coding Errors,DeFiHackLabs,9.9,7.41,1.99,0.04,6.89,72293884.0,5.9386,7.3043
CONTRACT_014,Coding Errors,DeFiVulnLabs,7.69,7.53,6.06,7.41,5.91,76500914.0,7.3339,5.9303
CONTRACT_015,Coding Errors,Academic,8.9,6.36,3.31,0.51,3.87,74150143.0,5.764,5.634
CONTRACT_016,Coding Errors,OWASP Top 10,7.84,6.46,8.87,3.78,2.72,82460206.0,7.0878,4.0712
CONTRACT_017,Coding Errors,SWC Registry,8.09,5.93,7.71,3.95,5.14,75121053.0,6.9686,6.0558
CONTRACT_018,Coding Errors,DeFiVulnLabs,2.2,2.76,0.31,5.09,3.89,31540050.0,2.7182,2.2483
CONTRACT_019,Coding Errors,OWASP Top 10,9.26,3.75,4.1,6.04,3.37,66518388.0,6.4093,4.8646
CONTRACT_020,Coding Errors,DeFiVulnLabs,7.56,8.16,6.24,2.37,2.63,78526648.0,6.512,4.85
CONTRACT_021,Coding Errors,DeFiVulnLabs,8.43,3.31,8.93,4.31,6.84,80507487.0,6.9718,5.9124
CONTRACT_022,Coding Errors,Academic,4.85,8.35,2.72,5.18,2.0,53722431.0,5.0401,6.0718
